id,full_name,state,name,y,x,category,description
247,Tulsa, OK,Nation of Islam,35.968097,-96.074478,Black Separatists,"Black separatist groups advocate the creation of separate black communities or even nations. Some are opposed to any contact between black and other communities, and are anti-white and anti-Semitic."
248,Washington, DC,Nation of Islam,38.803149,-77.11974,Black Separatists,"Black separatist groups advocate the creation of separate black communities or even nations. Some are opposed to any contact between black and other communities, and are anti-white and anti-Semitic."
249,Willingboro, NJ,Nation of Islam,39.998113,-74.931589,Black Separatists,"Black separatist groups advocate the creation of separate black communities or even nations. Some are opposed to any contact between black and other communities, and are anti-white and anti-Semitic."
250,Wilmington, DE,Nation of Islam,39.686794,-75.588466,Black Separatists,"Black separatist groups advocate the creation of separate black communities or even nations. Some are opposed to any contact between black and other communities, and are anti-white and anti-Semitic."
251,Winston-Salem, NC,Nation of Islam,35.996545,-80.385947,Black Separatists,"Black separatist groups advocate the creation of separate black communities or even nations. Some are opposed to any contact between black and other communities, and are anti-white and anti-Semitic."
252,Atlanta, GA,New Black Panther Party,33.647808,-84.551819,Black Separatists,"Black separatist groups advocate the creation of separate black communities or even nations. Some are opposed to any contact between black and other communities, and are anti-white and anti-Semitic."
253,Augusta, GA,New Black Panther Party,33.227148,-82.353499,Black Separatists,"Black separatist groups advocate the creation of separate black communities or even nations. Some are opposed to any contact between black and other communities, and are anti-white and anti-Semitic."
254,Dallas, TX,New Black Panther Party,32.617537,-96.998941,Black Separatists,"Black separatist groups advocate the creation of separate black communities or even nations. Some are opposed to any contact between black and other communities, and are anti-white and anti-Semitic."
255,Dayton, OH,New Black Panther Party,39.701834,-84.311377,Black Separatists,"Black separatist groups advocate the creation of separate black communities or even nations. Some are opposed to any contact between black and other communities, and are anti-white and anti-Semitic."
256,Hattiesburg, MS,New Black Panther Party,31.186012,-89.416684,Black Separatists,"Black separatist groups advocate the creation of separate black communities or even nations. Some are opposed to any contact between black and other communities, and are anti-white and anti-Semitic."
257,Houston, TX,New Black Panther Party,29.523624,-95.788087,Black Separatists,"Black separatist groups advocate the creation of separate black communities or even nations. Some are opposed to any contact between black and other communities, and are anti-white and anti-Semitic."
258,Jacksonville, FL,New Black Panther Party,30.103748,-82.049502,Black Separatists,"Black separatist groups advocate the creation of separate black communities or even nations. Some are opposed to any contact between black and other communities, and are anti-white and anti-Semitic."
259,Los Angeles, CA,New Black Panther Party,33.703692,-118.668176,Black Separatists,"Black separatist groups advocate the creation of separate black communities or even nations. Some are opposed to any contact between black and other communities, and are anti-white and anti-Semitic."
260,Louisville, KY,New Black Panther Party,37.9971,-85.948441,Black Separatists,"Black separatist groups advocate the creation of separate black communities or even nations. Some are opposed to any contact between black and other communities, and are anti-white and anti-Semitic."
261,Miami, FL,New Black Panther Party,25.709042,-80.319606,Black Separatists,"Black separatist groups advocate the creation of separate black communities or even nations. Some are opposed to any contact between black and other communities, and are anti-white and anti-Semitic."
262,Nashville, TN,New Black Panther Party,35.967785,-87.054903,Black Separatists,"Black separatist groups advocate the creation of separate black communities or even nations. Some are opposed to any contact between black and other communities, and are anti-white and anti-Semitic."
263,Newark, NJ,New Black Panther Party,40.674018,-74.251324,Black Separatists,"Black separatist groups advocate the creation of separate black communities or even nations. Some are opposed to any contact between black and other communities, and are anti-white and anti-Semitic."
264,Springfield, IL,New Black Panther Party,39.653626,-89.773177,Black Separatists,"Black separatist groups advocate the creation of separate black communities or even nations. Some are opposed to any contact between black and other communities, and are anti-white and anti-Semitic."
265,St. Louis, MO,New Black Panther Party,38.531852,-90.320515,Black Separatists,"Black separatist groups advocate the creation of separate black communities or even nations. Some are opposed to any contact between black and other communities, and are anti-white and anti-Semitic."
266,Tallahassee, FL,New Black Panther Party,30.346942,-84.383886,Black Separatists,"Black separatist groups advocate the creation of separate black communities or even nations. Some are opposed to any contact between black and other communities, and are anti-white and anti-Semitic."
267,Tampa, FL,New Black Panther Party,27.82106,-82.648655,Black Separatists,"Black separatist groups advocate the creation of separate black communities or even nations. Some are opposed to any contact between black and other communities, and are anti-white and anti-Semitic."
268,Tomball, TX,New Black Panther Party,30.061293,-95.66415,Black Separatists,"Black separatist groups advocate the creation of separate black communities or even nations. Some are opposed to any contact between black and other communities, and are anti-white and anti-Semitic."
269,Virginia Beach, VA,New Black Panther Party,36.550453,-76.227748,Black Separatists,"Black separatist groups advocate the creation of separate black communities or even nations. Some are opposed to any contact between black and other communities, and are anti-white and anti-Semitic."
270,Washington, DC,New Black Panther Party,38.803149,-77.11974,Black Separatists,"Black separatist groups advocate the creation of separate black communities or even nations. Some are opposed to any contact between black and other communities, and are anti-white and anti-Semitic."
271,Waycross, GA,New Black Panther Party,31.162828,-82.415123,Black Separatists,"Black separatist groups advocate the creation of separate black communities or even nations. Some are opposed to any contact between black and other communities, and are anti-white and anti-Semitic."
272,New Haven, CT,New Black Panther Party for Self Defense,41.246258,-72.998048,Black Separatists,"Black separatist groups advocate the creation of separate black communities or even nations. Some are opposed to any contact between black and other communities, and are anti-white and anti-Semitic."
273,Stone Mountain, GA,New Black Panther Party for Self Defense,33.790051,-84.186566,Black Separatists,"Black separatist groups advocate the creation of separate black communities or even nations. Some are opposed to any contact between black and other communities, and are anti-white and anti-Semitic."
274,Tampa Bay, FL,New Black Panther Party for Self Defense,27.496445,-82.760584,Black Separatists,"Black separatist groups advocate the creation of separate black communities or even nations. Some are opposed to any contact between black and other communities, and are anti-white and anti-Semitic."
275,San Diego, CA,Sicarii 1715,32.534856,-117.282167,Black Separatists,"Black separatist groups advocate the creation of separate black communities or even nations. Some are opposed to any contact between black and other communities, and are anti-white and anti-Semitic."
276,Inland Empire, CA,Sicarii 1716,33.425932,-117.802891,Black Separatists,"Black separatist groups advocate the creation of separate black communities or even nations. Some are opposed to any contact between black and other communities, and are anti-white and anti-Semitic."
277,Seattle, WA,Sicarii 1717,47.495551,-122.435909,Black Separatists,"Black separatist groups advocate the creation of separate black communities or even nations. Some are opposed to any contact between black and other communities, and are anti-white and anti-Semitic."
278,Allentown, PA,The Israelite Church of God in Jesus Christ,40.550173,-75.548002,Black Separatists,"Black separatist groups advocate the creation of separate black communities or even nations. Some are opposed to any contact between black and other communities, and are anti-white and anti-Semitic."
279,Baltimore, MD,The Israelite Church of God in Jesus Christ,39.197207,-76.711519,Black Separatists,"Black separatist groups advocate the creation of separate black communities or even nations. Some are opposed to any contact between black and other communities, and are anti-white and anti-Semitic."
280,Baltimore, MD,The Israelite Church of God in Jesus Christ,39.197207,-76.711519,Black Separatists,"Black separatist groups advocate the creation of separate black communities or even nations. Some are opposed to any contact between black and other communities, and are anti-white and anti-Semitic."
281,Fort Myers, FL,The Israelite Church of God in Jesus Christ,26.54782,-81.895952,Black Separatists,"Black separatist groups advocate the creation of separate black communities or even nations. Some are opposed to any contact between black and other communities, and are anti-white and anti-Semitic."
282,Greensboro, NC,The Israelite Church of God in Jesus Christ,35.985195,-80.006891,Black Separatists,"Black separatist groups advocate the creation of separate black communities or even nations. Some are opposed to any contact between black and other communities, and are anti-white and anti-Semitic."
283,Jersey City, NJ,The Israelite Church of God in Jesus Christ,40.666882,-74.107944,Black Separatists,"Black separatist groups advocate the creation of separate black communities or even nations. Some are opposed to any contact between black and other communities, and are anti-white and anti-Semitic."
284,Los Angeles, CA,The Israelite Church of God in Jesus Christ,33.703692,-118.668176,Black Separatists,"Black separatist groups advocate the creation of separate black communities or even nations. Some are opposed to any contact between black and other communities, and are anti-white and anti-Semitic."
285,Miami, FL,The Israelite Church of God in Jesus Christ,25.709042,-80.319606,Black Separatists,"Black separatist groups advocate the creation of separate black communities or even nations. Some are opposed to any contact between black and other communities, and are anti-white and anti-Semitic."
286,Minneapolis, MN,The Israelite Church of God in Jesus Christ,44.890144,-93.329163,Black Separatists,"Black separatist groups advocate the creation of separate black communities or even nations. Some are opposed to any contact between black and other communities, and are anti-white and anti-Semitic."
287,New York, NY,The Israelite Church of God in Jesus Christ,40.496044,-74.255735,Black Separatists,"Black separatist groups advocate the creation of separate black communities or even nations. Some are opposed to any contact between black and other communities, and are anti-white and anti-Semitic."
288,Oklahoma City, OK,The Israelite Church of God in Jesus Christ,35.290544,-97.833675,Black Separatists,"Black separatist groups advocate the creation of separate black communities or even nations. Some are opposed to any contact between black and other communities, and are anti-white and anti-Semitic."
289,Omaha, NE,The Israelite Church of God in Jesus Christ,41.190548,-96.291356,Black Separatists,"Black separatist groups advocate the creation of separate black communities or even nations. Some are opposed to any contact between black and other communities, and are anti-white and anti-Semitic."
290,Orlando, FL,The Israelite Church of God in Jesus Christ,28.347986,-81.50773,Black Separatists,"Black separatist groups advocate the creation of separate black communities or even nations. Some are opposed to any contact between black and other communities, and are anti-white and anti-Semitic."
291,Philadelphia, PA,The Israelite Church of God in Jesus Christ,39.871514,-75.280303,Black Separatists,"Black separatist groups advocate the creation of separate black communities or even nations. Some are opposed to any contact between black and other communities, and are anti-white and anti-Semitic."
292,Pittsburgh, PA,The Israelite Church of God in Jesus Christ,40.361369,-80.095278,Black Separatists,"Black separatist groups advocate the creation of separate black communities or even nations. Some are opposed to any contact between black and other communities, and are anti-white and anti-Semitic."
293,Portland, OR,The Israelite Church of God in Jesus Christ,45.432393,-122.836995,Black Separatists,"Black separatist groups advocate the creation of separate black communities or even nations. Some are opposed to any contact between black and other communities, and are anti-white and anti-Semitic."
294,Rialto, CA,The Israelite Church of God in Jesus Christ,34.023886,-117.436509,Black Separatists,"Black separatist groups advocate the creation of separate black communities or even nations. Some are opposed to any contact between black and other communities, and are anti-white and anti-Semitic."
295,Washington, DC,The Israelite Church of God in Jesus Christ,38.803149,-77.11974,Black Separatists,"Black separatist groups advocate the creation of separate black communities or even nations. Some are opposed to any contact between black and other communities, and are anti-white and anti-Semitic."
296,Washington, DC,The Israelite Church of God in Jesus Christ,38.803149,-77.11974,Black Separatists,"Black separatist groups advocate the creation of separate black communities or even nations. Some are opposed to any contact between black and other communities, and are anti-white and anti-Semitic."
297,West Palm Beach, FL,The Israelite Church of God in Jesus Christ,26.644674,-80.214617,Black Separatists,"Black separatist groups advocate the creation of separate black communities or even nations. Some are opposed to any contact between black and other communities, and are anti-white and anti-Semitic."
298,Washington, DC,War On The Horizon,38.803149,-77.11974,Black Separatists,"Black separatist groups advocate the creation of separate black communities or even nations. Some are opposed to any contact between black and other communities, and are anti-white and anti-Semitic."
299, Washington, DC, As-Sabiqun,38.803149,-77.11974,Black Separatists,"Black separatist groups advocate the creation of separate black communities or even nations. Some are opposed to any contact between black and other communities, and are anti-white and anti-Semitic."
300, Los Angeles, CA, As-Sabiqun,33.703692,-118.668176,Black Separatists,"Black separatist groups advocate the creation of separate black communities or even nations. Some are opposed to any contact between black and other communities, and are anti-white and anti-Semitic."
301, Oakland, CA, As-Sabiqun,37.699198,-122.342665,Black Separatists,"Black separatist groups advocate the creation of separate black communities or even nations. Some are opposed to any contact between black and other communities, and are anti-white and anti-Semitic."
302, Sacramento, CA, As-Sabiqun,38.437574,-121.56012,Black Separatists,"Black separatist groups advocate the creation of separate black communities or even nations. Some are opposed to any contact between black and other communities, and are anti-white and anti-Semitic."
303, San Diego, CA, As-Sabiqun,32.534856,-117.282167,Black Separatists,"Black separatist groups advocate the creation of separate black communities or even nations. Some are opposed to any contact between black and other communities, and are anti-white and anti-Semitic."
304, Philadelphia, PA, As-Sabiqun,39.871514,-75.280303,Black Separatists,"Black separatist groups advocate the creation of separate black communities or even nations. Some are opposed to any contact between black and other communities, and are anti-white and anti-Semitic."
305, Baltimore, MD, Jamaat al-Muslimeen,39.197207,-76.711519,Black Separatists,"Black separatist groups advocate the creation of separate black communities or even nations. Some are opposed to any contact between black and other communities, and are anti-white and anti-Semitic."
306, Oakland, CA, Masjid al Islam,37.699198,-122.342665,Black Separatists,"Black separatist groups advocate the creation of separate black communities or even nations. Some are opposed to any contact between black and other communities, and are anti-white and anti-Semitic."
307,Henry County, GA,III% Security Force,33.297707,-84.3544,Anti-Muslim,"Anti-Muslim groups are a relatively new phenomenon in the radical right, emerging in in the US in the wake of 9/11. The movement is the fastest growing in the US, with the number of groups tripling in the last year. Followers make no distinctions between radical Islam and other branches of the faith, portray Muslims as engaged in a plot to take over the West, and call for them to be barred from public service."
308,Virginia Beach, VA,ACT for America,36.550453,-76.227748,Anti-Muslim,"Anti-Muslim groups are a relatively new phenomenon in the radical right, emerging in in the US in the wake of 9/11. The movement is the fastest growing in the US, with the number of groups tripling in the last year. Followers make no distinctions between radical Islam and other branches of the faith, portray Muslims as engaged in a plot to take over the West, and call for them to be barred from public service."
309,Jonesboro, AR,ACT for America,35.7486,-90.785927,Anti-Muslim,"Anti-Muslim groups are a relatively new phenomenon in the radical right, emerging in in the US in the wake of 9/11. The movement is the fastest growing in the US, with the number of groups tripling in the last year. Followers make no distinctions between radical Islam and other branches of the faith, portray Muslims as engaged in a plot to take over the West, and call for them to be barred from public service."
310,Tucson, AZ,ACT for America,31.991654,-111.059406,Anti-Muslim,"Anti-Muslim groups are a relatively new phenomenon in the radical right, emerging in in the US in the wake of 9/11. The movement is the fastest growing in the US, with the number of groups tripling in the last year. Followers make no distinctions between radical Islam and other branches of the faith, portray Muslims as engaged in a plot to take over the West, and call for them to be barred from public service."
311,Corona, CA,ACT for America,33.80272,-117.673749,Anti-Muslim,"Anti-Muslim groups are a relatively new phenomenon in the radical right, emerging in in the US in the wake of 9/11. The movement is the fastest growing in the US, with the number of groups tripling in the last year. Followers make no distinctions between radical Islam and other branches of the faith, portray Muslims as engaged in a plot to take over the West, and call for them to be barred from public service."
312,Los Angeles, CA,ACT for America,33.703692,-118.668176,Anti-Muslim,"Anti-Muslim groups are a relatively new phenomenon in the radical right, emerging in in the US in the wake of 9/11. The movement is the fastest growing in the US, with the number of groups tripling in the last year. Followers make no distinctions between radical Islam and other branches of the faith, portray Muslims as engaged in a plot to take over the West, and call for them to be barred from public service."
313,Mission Viejo, CA,ACT for America,33.534915,-117.695252,Anti-Muslim,"Anti-Muslim groups are a relatively new phenomenon in the radical right, emerging in in the US in the wake of 9/11. The movement is the fastest growing in the US, with the number of groups tripling in the last year. Followers make no distinctions between radical Islam and other branches of the faith, portray Muslims as engaged in a plot to take over the West, and call for them to be barred from public service."
314,Denver, CO,ACT for America,39.614431,-105.109927,Anti-Muslim,"Anti-Muslim groups are a relatively new phenomenon in the radical right, emerging in in the US in the wake of 9/11. The movement is the fastest growing in the US, with the number of groups tripling in the last year. Followers make no distinctions between radical Islam and other branches of the faith, portray Muslims as engaged in a plot to take over the West, and call for them to be barred from public service."
315,Cheshire, CT,ACT for America,41.448097,-72.969949,Anti-Muslim,"Anti-Muslim groups are a relatively new phenomenon in the radical right, emerging in in the US in the wake of 9/11. The movement is the fastest growing in the US, with the number of groups tripling in the last year. Followers make no distinctions between radical Islam and other branches of the faith, portray Muslims as engaged in a plot to take over the West, and call for them to be barred from public service."
316,New Heaven,CT,ACT for America,40.98698,-73.727775,Anti-Muslim,"Anti-Muslim groups are a relatively new phenomenon in the radical right, emerging in in the US in the wake of 9/11. The movement is the fastest growing in the US, with the number of groups tripling in the last year. Followers make no distinctions between radical Islam and other branches of the faith, portray Muslims as engaged in a plot to take over the West, and call for them to be barred from public service."
317,Bear, DE,ACT for America,39.599475,-75.716722,Anti-Muslim,"Anti-Muslim groups are a relatively new phenomenon in the radical right, emerging in in the US in the wake of 9/11. The movement is the fastest growing in the US, with the number of groups tripling in the last year. Followers make no distinctions between radical Islam and other branches of the faith, portray Muslims as engaged in a plot to take over the West, and call for them to be barred from public service."
318,Brevard County, FL,ACT for America,27.822059,-80.98725,Anti-Muslim,"Anti-Muslim groups are a relatively new phenomenon in the radical right, emerging in in the US in the wake of 9/11. The movement is the fastest growing in the US, with the number of groups tripling in the last year. Followers make no distinctions between radical Islam and other branches of the faith, portray Muslims as engaged in a plot to take over the West, and call for them to be barred from public service."
319,Heathrow, FL,ACT for America,28.756149,-81.385463,Anti-Muslim,"Anti-Muslim groups are a relatively new phenomenon in the radical right, emerging in in the US in the wake of 9/11. The movement is the fastest growing in the US, with the number of groups tripling in the last year. Followers make no distinctions between radical Islam and other branches of the faith, portray Muslims as engaged in a plot to take over the West, and call for them to be barred from public service."
320,Jacksonville, FL,ACT for America,30.103748,-82.049502,Anti-Muslim,"Anti-Muslim groups are a relatively new phenomenon in the radical right, emerging in in the US in the wake of 9/11. The movement is the fastest growing in the US, with the number of groups tripling in the last year. Followers make no distinctions between radical Islam and other branches of the faith, portray Muslims as engaged in a plot to take over the West, and call for them to be barred from public service."
321,Palm Beach, FL,ACT for America,26.594351,-80.045482,Anti-Muslim,"Anti-Muslim groups are a relatively new phenomenon in the radical right, emerging in in the US in the wake of 9/11. The movement is the fastest growing in the US, with the number of groups tripling in the last year. Followers make no distinctions between radical Islam and other branches of the faith, portray Muslims as engaged in a plot to take over the West, and call for them to be barred from public service."
322,Des Moines, IA,ACT for America,41.479264,-93.709817,Anti-Muslim,"Anti-Muslim groups are a relatively new phenomenon in the radical right, emerging in in the US in the wake of 9/11. The movement is the fastest growing in the US, with the number of groups tripling in the last year. Followers make no distinctions between radical Islam and other branches of the faith, portray Muslims as engaged in a plot to take over the West, and call for them to be barred from public service."
323,Meridian, ID,ACT for America,43.561197,-116.461977,Anti-Muslim,"Anti-Muslim groups are a relatively new phenomenon in the radical right, emerging in in the US in the wake of 9/11. The movement is the fastest growing in the US, with the number of groups tripling in the last year. Followers make no distinctions between radical Islam and other branches of the faith, portray Muslims as engaged in a plot to take over the West, and call for them to be barred from public service."
324,Twin Falls, ID,ACT for America,42.516282,-114.509264,Anti-Muslim,"Anti-Muslim groups are a relatively new phenomenon in the radical right, emerging in in the US in the wake of 9/11. The movement is the fastest growing in the US, with the number of groups tripling in the last year. Followers make no distinctions between radical Islam and other branches of the faith, portray Muslims as engaged in a plot to take over the West, and call for them to be barred from public service."
325,Des Plaines, IL,ACT for America,41.99543,-87.941271,Anti-Muslim,"Anti-Muslim groups are a relatively new phenomenon in the radical right, emerging in in the US in the wake of 9/11. The movement is the fastest growing in the US, with the number of groups tripling in the last year. Followers make no distinctions between radical Islam and other branches of the faith, portray Muslims as engaged in a plot to take over the West, and call for them to be barred from public service."
326,Baton Rouge, LA,ACT for America,30.323732,-91.216307,Anti-Muslim,"Anti-Muslim groups are a relatively new phenomenon in the radical right, emerging in in the US in the wake of 9/11. The movement is the fastest growing in the US, with the number of groups tripling in the last year. Followers make no distinctions between radical Islam and other branches of the faith, portray Muslims as engaged in a plot to take over the West, and call for them to be barred from public service."
327,Boston, MA,ACT for America,42.22788,-71.191113,Anti-Muslim,"Anti-Muslim groups are a relatively new phenomenon in the radical right, emerging in in the US in the wake of 9/11. The movement is the fastest growing in the US, with the number of groups tripling in the last year. Followers make no distinctions between radical Islam and other branches of the faith, portray Muslims as engaged in a plot to take over the West, and call for them to be barred from public service."
328,Detroit, MI,ACT for America,42.255192,-83.287959,Anti-Muslim,"Anti-Muslim groups are a relatively new phenomenon in the radical right, emerging in in the US in the wake of 9/11. The movement is the fastest growing in the US, with the number of groups tripling in the last year. Followers make no distinctions between radical Islam and other branches of the faith, portray Muslims as engaged in a plot to take over the West, and call for them to be barred from public service."
329,Grand Rapids, MI,ACT for America,42.883666,-85.751532,Anti-Muslim,"Anti-Muslim groups are a relatively new phenomenon in the radical right, emerging in in the US in the wake of 9/11. The movement is the fastest growing in the US, with the number of groups tripling in the last year. Followers make no distinctions between radical Islam and other branches of the faith, portray Muslims as engaged in a plot to take over the West, and call for them to be barred from public service."
330,Minneapolis, MN,ACT for America,44.890144,-93.329163,Anti-Muslim,"Anti-Muslim groups are a relatively new phenomenon in the radical right, emerging in in the US in the wake of 9/11. The movement is the fastest growing in the US, with the number of groups tripling in the last year. Followers make no distinctions between radical Islam and other branches of the faith, portray Muslims as engaged in a plot to take over the West, and call for them to be barred from public service."
331,Ste. Genevieve, MO,ACT for America,37.951725,-90.069694,Anti-Muslim,"Anti-Muslim groups are a relatively new phenomenon in the radical right, emerging in in the US in the wake of 9/11. The movement is the fastest growing in the US, with the number of groups tripling in the last year. Followers make no distinctions between radical Islam and other branches of the faith, portray Muslims as engaged in a plot to take over the West, and call for them to be barred from public service."
332,St. Louis, MO,ACT for America,38.531852,-90.320515,Anti-Muslim,"Anti-Muslim groups are a relatively new phenomenon in the radical right, emerging in in the US in the wake of 9/11. The movement is the fastest growing in the US, with the number of groups tripling in the last year. Followers make no distinctions between radical Islam and other branches of the faith, portray Muslims as engaged in a plot to take over the West, and call for them to be barred from public service."
333,Lake County, MT,ACT for America,47.13807,-114.605244,Anti-Muslim,"Anti-Muslim groups are a relatively new phenomenon in the radical right, emerging in in the US in the wake of 9/11. The movement is the fastest growing in the US, with the number of groups tripling in the last year. Followers make no distinctions between radical Islam and other branches of the faith, portray Muslims as engaged in a plot to take over the West, and call for them to be barred from public service."
334,Kalispell, MT,ACT for America,48.163208,-114.372812,Anti-Muslim,"Anti-Muslim groups are a relatively new phenomenon in the radical right, emerging in in the US in the wake of 9/11. The movement is the fastest growing in the US, with the number of groups tripling in the last year. Followers make no distinctions between radical Islam and other branches of the faith, portray Muslims as engaged in a plot to take over the West, and call for them to be barred from public service."
335,Stillwater County, MT,ACT for America,45.167179,-110.063819,Anti-Muslim,"Anti-Muslim groups are a relatively new phenomenon in the radical right, emerging in in the US in the wake of 9/11. The movement is the fastest growing in the US, with the number of groups tripling in the last year. Followers make no distinctions between radical Islam and other branches of the faith, portray Muslims as engaged in a plot to take over the West, and call for them to be barred from public service."
336,Whitehall, MT,ACT for America,45.865472,-112.109526,Anti-Muslim,"Anti-Muslim groups are a relatively new phenomenon in the radical right, emerging in in the US in the wake of 9/11. The movement is the fastest growing in the US, with the number of groups tripling in the last year. Followers make no distinctions between radical Islam and other branches of the faith, portray Muslims as engaged in a plot to take over the West, and call for them to be barred from public service."
337,Fayetteville, NC,ACT for America,34.981286,-79.091726,Anti-Muslim,"Anti-Muslim groups are a relatively new phenomenon in the radical right, emerging in in the US in the wake of 9/11. The movement is the fastest growing in the US, with the number of groups tripling in the last year. Followers make no distinctions between radical Islam and other branches of the faith, portray Muslims as engaged in a plot to take over the West, and call for them to be barred from public service."
338,Nashua, NH,ACT for America,42.699989,-71.560789,Anti-Muslim,"Anti-Muslim groups are a relatively new phenomenon in the radical right, emerging in in the US in the wake of 9/11. The movement is the fastest growing in the US, with the number of groups tripling in the last year. Followers make no distinctions between radical Islam and other branches of the faith, portray Muslims as engaged in a plot to take over the West, and call for them to be barred from public service."
339,Brooklyn, NY,ACT for America,40.551042,-74.05663,Anti-Muslim,"Anti-Muslim groups are a relatively new phenomenon in the radical right, emerging in in the US in the wake of 9/11. The movement is the fastest growing in the US, with the number of groups tripling in the last year. Followers make no distinctions between radical Islam and other branches of the faith, portray Muslims as engaged in a plot to take over the West, and call for them to be barred from public service."
340,Long Island, NY,ACT for America,40.542979,-74.04195,Anti-Muslim,"Anti-Muslim groups are a relatively new phenomenon in the radical right, emerging in in the US in the wake of 9/11. The movement is the fastest growing in the US, with the number of groups tripling in the last year. Followers make no distinctions between radical Islam and other branches of the faith, portray Muslims as engaged in a plot to take over the West, and call for them to be barred from public service."
341,Cleveland, OH,ACT for America,41.390628,-81.878976,Anti-Muslim,"Anti-Muslim groups are a relatively new phenomenon in the radical right, emerging in in the US in the wake of 9/11. The movement is the fastest growing in the US, with the number of groups tripling in the last year. Followers make no distinctions between radical Islam and other branches of the faith, portray Muslims as engaged in a plot to take over the West, and call for them to be barred from public service."
342,Cincinnati, OH,ACT for America,39.051921,-84.712048,Anti-Muslim,"Anti-Muslim groups are a relatively new phenomenon in the radical right, emerging in in the US in the wake of 9/11. The movement is the fastest growing in the US, with the number of groups tripling in the last year. Followers make no distinctions between radical Islam and other branches of the faith, portray Muslims as engaged in a plot to take over the West, and call for them to be barred from public service."
343,Columbus, OH,ACT for America,39.808631,-83.21028,Anti-Muslim,"Anti-Muslim groups are a relatively new phenomenon in the radical right, emerging in in the US in the wake of 9/11. The movement is the fastest growing in the US, with the number of groups tripling in the last year. Followers make no distinctions between radical Islam and other branches of the faith, portray Muslims as engaged in a plot to take over the West, and call for them to be barred from public service."
344,Rapid City, SD,ACT for America,44.002127,-103.325763,Anti-Muslim,"Anti-Muslim groups are a relatively new phenomenon in the radical right, emerging in in the US in the wake of 9/11. The movement is the fastest growing in the US, with the number of groups tripling in the last year. Followers make no distinctions between radical Islam and other branches of the faith, portray Muslims as engaged in a plot to take over the West, and call for them to be barred from public service."
345,Knoxville, TN,ACT for America,35.849499,-84.161622,Anti-Muslim,"Anti-Muslim groups are a relatively new phenomenon in the radical right, emerging in in the US in the wake of 9/11. The movement is the fastest growing in the US, with the number of groups tripling in the last year. Followers make no distinctions between radical Islam and other branches of the faith, portray Muslims as engaged in a plot to take over the West, and call for them to be barred from public service."
346,Memphis, TN,ACT for America,34.994185,-90.304493,Anti-Muslim,"Anti-Muslim groups are a relatively new phenomenon in the radical right, emerging in in the US in the wake of 9/11. The movement is the fastest growing in the US, with the number of groups tripling in the last year. Followers make no distinctions between radical Islam and other branches of the faith, portray Muslims as engaged in a plot to take over the West, and call for them to be barred from public service."
347,Dallas, TX,ACT for America,32.617537,-96.998941,Anti-Muslim,"Anti-Muslim groups are a relatively new phenomenon in the radical right, emerging in in the US in the wake of 9/11. The movement is the fastest growing in the US, with the number of groups tripling in the last year. Followers make no distinctions between radical Islam and other branches of the faith, portray Muslims as engaged in a plot to take over the West, and call for them to be barred from public service."
348,Houston, TX,ACT for America,29.523624,-95.788087,Anti-Muslim,"Anti-Muslim groups are a relatively new phenomenon in the radical right, emerging in in the US in the wake of 9/11. The movement is the fastest growing in the US, with the number of groups tripling in the last year. Followers make no distinctions between radical Islam and other branches of the faith, portray Muslims as engaged in a plot to take over the West, and call for them to be barred from public service."
349,San Antonio, TX,ACT for America,29.224141,-98.805851,Anti-Muslim,"Anti-Muslim groups are a relatively new phenomenon in the radical right, emerging in in the US in the wake of 9/11. The movement is the fastest growing in the US, with the number of groups tripling in the last year. Followers make no distinctions between radical Islam and other branches of the faith, portray Muslims as engaged in a plot to take over the West, and call for them to be barred from public service."
350,Leesburg, VA,ACT for America,39.066852,-77.602658,Anti-Muslim,"Anti-Muslim groups are a relatively new phenomenon in the radical right, emerging in in the US in the wake of 9/11. The movement is the fastest growing in the US, with the number of groups tripling in the last year. Followers make no distinctions between radical Islam and other branches of the faith, portray Muslims as engaged in a plot to take over the West, and call for them to be barred from public service."
351,Pierce County, WA,ACT for America,46.727986,-122.841513,Anti-Muslim,"Anti-Muslim groups are a relatively new phenomenon in the radical right, emerging in in the US in the wake of 9/11. The movement is the fastest growing in the US, with the number of groups tripling in the last year. Followers make no distinctions between radical Islam and other branches of the faith, portray Muslims as engaged in a plot to take over the West, and call for them to be barred from public service."
352,Spokane Valley, WA,ACT for America,47.599848,-117.346953,Anti-Muslim,"Anti-Muslim groups are a relatively new phenomenon in the radical right, emerging in in the US in the wake of 9/11. The movement is the fastest growing in the US, with the number of groups tripling in the last year. Followers make no distinctions between radical Islam and other branches of the faith, portray Muslims as engaged in a plot to take over the West, and call for them to be barred from public service."
353,Jackson Center, PA,Altra Firearms,41.259964,-80.153142,Anti-Muslim,"Anti-Muslim groups are a relatively new phenomenon in the radical right, emerging in in the US in the wake of 9/11. The movement is the fastest growing in the US, with the number of groups tripling in the last year. Followers make no distinctions between radical Islam and other branches of the faith, portray Muslims as engaged in a plot to take over the West, and call for them to be barred from public service."
354,Nashville, TN,American Constitution Center,35.967785,-87.054903,Anti-Muslim,"Anti-Muslim groups are a relatively new phenomenon in the radical right, emerging in in the US in the wake of 9/11. The movement is the fastest growing in the US, with the number of groups tripling in the last year. Followers make no distinctions between radical Islam and other branches of the faith, portray Muslims as engaged in a plot to take over the West, and call for them to be barred from public service."
